source_id,name,source_type,market,discipline_focus,tier,website_url,opencalls_url,instagram_url,scrape_method,status,needs_verification,notes
src_082,Suzanne Dellal Centre for Dance and Theatre,Institution,tel_aviv,"dance,performance",2,https://suzannedellal.org.il/en/,https://suzannedellal.org.il/en/registration/,,,active,FALSE,"Verified 2026-09-18: registration page (suzannedellal.org.il/en/registration/) is live and functioning, confirming the centre actively runs workshops, masterclasses and open classes (incl. Gaga movement classes) alongside its performance programme -- not just a presenting venue. Previously flagged in the 2026-09-17 batch as 'off-cycle, no open call'; this entry is specifically about its workshop/class programming, a different content type (events, not opportunities)."
src_083,Machol Shalem Dance House (MASH),Institution,jerusalem,dance,2,https://www.macholshalem.co.il/en,,,,active,FALSE,"Verified 2026-09-18 by direct fetch of the open-call page. Runs the annual Jerusalem International Dance Week (since 2006) and the Jerusalem International Choreography Competition -- see matching opportunity row opp_stg_037 and event rows for the 2026 dates."
src_084,Musrara -- The Naggar School of Photography, Media, New Music and Design,Institution,jerusalem,interdisciplinary,2,https://musrara.co.il/en/,,,,active,FALSE,"Verified 2026-09-18. Active art school (est. 1987) in the Musrara neighbourhood with 5 departments (Photography, New Media, New Music, Visual Communication, Phototherapy) on a 3-year track, plus public-facing workshops (calligraphy, bookbinding, printmaking) and community programmes."
src_085,Yellow Submarine,Institution,jerusalem,music,2,https://yellowsubmarine.org.il/en/,,,,active,FALSE,"Verified 2026-09-18. Jerusalem's main music-education venue/concert space since 1991; runs a summer masterclass programme with visiting Israeli artists, professional sound-engineering courses, and youth 'Band Project' instruction."
src_086,Jerusalem Music Centre (JMC),Institution,jerusalem,music,2,https://www.jmc.org.il/en/masterclasses/,,,,active,TRUE,"Verified 2026-09-18 by direct fetch of the masterclasses page. Confirms a real, recurring public masterclass programme (most recently a free piano masterclass with Rubinstein Competition jury members Soo-Jung Shin and Akiko Ebi, 2026-09-08/09 -- already concluded). NEEDS VERIFICATION: no further dated masterclass was listed on the page as of the 2026-09-18 check; recheck jmc.org.il periodically for the next scheduled date before creating a dated event row."
src_087,Nissan Nativ Acting Studio,Institution,tel_aviv,performance,2,https://www.nissan-nativ.co.il/,,,,active,TRUE,"Found 2026-09-18 via Jerusalem Foundation, Wikipedia, Filmmakers.eu. Real, long-running (est. 1963) Tel Aviv acting school; offers part-time adult/high-school acting courses alongside its 3-year professional programme, and has hosted celebrity masterclasses (e.g. Kevin Spacey, per Ynet). NEEDS VERIFICATION: could not confirm current 2026 part-time course enrollment dates directly on the school's own site in this session."
src_088,Tel Aviv Museum of Art,Institution,tel_aviv,"painting,sculpture",2,https://www.tamuseum.org.il/en/,,,,active,FALSE,"Verified 2026-09-18. Confirms an active 2025-2026 public lecture series ('Talk Art. Music', Thursdays 11:00 / Tuesdays 19:30) plus a standing programme of courses and workshops led by curators/artists on visual art, philosophy and cinema, open to the public via the museum's Learning department."
src_089,Bezalel Academy of Arts and Design -- Continuing Education Unit,Institution,jerusalem,interdisciplinary,2,https://www.bezalel.ac.il/en/academics/Continuing_Education,,,,active,TRUE,"Found 2026-09-18. Confirms Bezalel runs a public-facing Continuing Education Unit offering courses/specializations to graduates and the general public beyond the degree programme. NEEDS VERIFICATION: no specific 2026 course dates or a public lecture-series schedule confirmed directly in this session -- recheck bezalel.ac.il/en/events."
src_090,Beit Lessin Theatre,Institution,tel_aviv,performance,2,https://www.beit-lessin.co.il/,,,,active,TRUE,"Found 2026-09-18 via Wikipedia, BroadwayWorld, International Exposure of Israeli Theatre. Real, active Tel Aviv repertory theatre (est. 1978) focused on contemporary Israeli drama, produces a regular season. NEEDS VERIFICATION: no specific 2026/27 season dates confirmed directly on the theatre's own site in this session."
src_091,Haifa Theatre (Haifa Municipal Theatre),Institution,haifa,performance,2,https://www.haifathe.co.il/,,,,active,TRUE,"Found 2026-09-18 via Jewish Virtual Library, International Exposure of Israeli Theatre. Israel's first municipal theatre; produces 8-10 plays annually. NEEDS VERIFICATION: no specific 2026/27 season dates or masterclass programme confirmed directly on the theatre's own site in this session."
